369;133
431;155
459;177
495;207
525;221
565;253
613;283
655;297
697;323
731;341
773;375
785;369
819;403
861;437
893;471
927;503
947;547
991;589
1007;633
1001;675
1015;699
1047;693
1087;713
1105;755
1105;811
1093;873
1045;949
1023;957
993;975
927;1011
861;1047
823;1075
801;1069
801;1049
693;1073
607;1089
595;1065
737;1009
687;1013
751;983
791;939
833;909
877;903
819;893
765;939
693;945
617;943
609;949
613;977
547;1053
549;1059
483;1073
377;1087
301;1117
263;1127
311;1065
363;1045
255;1033
263;1011
421;1001
413;963
449;973
483;841
445;771
395;641
313;763
423;785
427;811
305;835
335;861
241;847
155;879
123;879
177;825
81;803
205;773
263;625
319;545
289;485
293;459
175;267
169;211
235;135
279;133
327;105
